date,competition,weight,home_team,away_team,home_goals,away_goals,total_goals,goal_diff,result,btts,over_2_5,over_3_5,home_win,draw,away_win,neutral
2014-01-15,Friendly,0.1,Moldova,Norway,1,2,3,-1,A,1,1,0,0,0,1,True
2014-01-17,Friendly,0.1,Moldova,Sweden,1,2,3,-1,A,1,1,0,0,0,1,True
2014-01-18,Friendly,0.1,Norway,Poland,0,3,3,-3,A,0,1,0,0,0,1,True
2014-01-20,Friendly,0.1,Moldova,Poland,0,1,1,-1,A,0,0,0,0,0,1,True
2014-01-21,Friendly,0.1,Iceland,Sweden,0,2,2,-2,A,0,0,0,0,0,1,True
2014-01-22,Friendly,0.1,Chile,Costa Rica,4,0,4,4,H,0,1,1,1,0,0,False
2014-01-24,Friendly,0.1,Oman,Finland,0,0,0,0,D,0,0,0,0,1,0,False
2014-01-25,Friendly,0.1,Costa Rica,South Korea,0,1,1,-1,A,0,0,0,0,0,1,True
2014-01-29,Friendly,0.1,Mexico,South Korea,4,0,4,4,H,0,1,1,1,0,0,True
2014-01-31,AFC Asian Cup qualification,0.8,Oman,Jordan,0,0,0,0,D,0,0,0,0,1,0,False
2014-02-01,Friendly,0.1,USA,South Korea,2,0,2,2,H,0,0,0,1,0,0,False
2014-02-04,AFC Asian Cup qualification,0.8,Singapore,Jordan,1,3,4,-2,A,1,1,1,0,0,1,False
2014-02-19,Friendly,0.1,Lebanon,Pakistan,3,1,4,2,H,1,1,1,1,0,0,False
2014-02-21,Friendly,0.1,Iraq,North Korea,2,0,2,2,H,0,0,0,1,0,0,True
2014-02-23,Friendly,0.1,Sealand,Chagos Islands,4,2,6,2,H,1,1,1,1,0,0,True
2014-03-01,Friendly,0.1,Gibraltar,Faroe Islands,1,4,5,-3,A,1,1,1,0,0,1,False
2014-03-01,Friendly,0.1,Malaysia,Philippines,0,0,0,0,D,0,0,0,0,1,0,False
2014-03-03,AFC Asian Cup qualification,0.8,Iran,Kuwait,3,2,5,1,H,1,1,1,1,0,0,False
2014-03-05,Friendly,0.1,Albania,Malta,2,0,2,2,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,Algeria,Slovenia,2,0,2,2,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,Andorra,Moldova,0,3,3,-3,A,0,1,0,0,0,1,False
2014-03-05,Friendly,0.1,Australia,Ecuador,3,4,7,-1,A,1,1,1,0,0,1,True
2014-03-05,Friendly,0.1,Austria,Uruguay,1,1,2,0,D,1,0,0,0,1,0,False
